Dia da Semana,Características reais da sala,Características da sala pedida para a aula,Turno,﻿Curso,Unidade de execução,Turnos com capacidade superior à capacidade das características das salas,Fim,Início,Inscritos no turno (no 1º semestre é baseado em estimativas),Turma,Turno com inscrições superiores à capacidade das salas,Lotação,Sala da aula,Dia
Ter,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M8406TP01,METI,Sistemas e Redes de Comunicação para Móveis Avançados,FALSO,12:30:00,11:00:00,28,METIA1,FALSO,28,AA3.24,11/17/2015
Ter,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M8406TP01,METI,Sistemas e Redes de Comunicação para Móveis Avançados,FALSO,12:30:00,11:00:00,28,METIA1,FALSO,28,AA3.24,11/10/2015
Ter,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M8406TP01,METI,Sistemas e Redes de Comunicação para Móveis Avançados,FALSO,12:30:00,11:00:00,28,METIA1,FALSO,28,AA3.24,11/3/2015
Ter,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M8406TP01,METI,Sistemas e Redes de Comunicação para Móveis Avançados,FALSO,12:30:00,11:00:00,28,METIA1,FALSO,28,AA3.24,10/27/2015
Ter,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M8406TP01,METI,Sistemas e Redes de Comunicação para Móveis Avançados,FALSO,12:30:00,11:00:00,28,METIA1,FALSO,28,AA3.24,10/20/2015
Ter,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M8406TP01,METI,Sistemas e Redes de Comunicação para Móveis Avançados,FALSO,12:30:00,11:00:00,28,METIA1,FALSO,28,AA3.24,10/13/2015
Ter,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M8406TP01,METI,Sistemas e Redes de Comunicação para Móveis Avançados,FALSO,12:30:00,11:00:00,28,METIA1,FALSO,28,AA3.24,10/6/2015
Ter,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M8406TP01,METI,Sistemas e Redes de Comunicação para Móveis Avançados,FALSO,12:30:00,11:00:00,28,METIA1,FALSO,28,AA3.24,9/29/2015
Ter,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M8406TP01,METI,Sistemas e Redes de Comunicação para Móveis Avançados,FALSO,11:00:00,09:30:00,28,METIA1,FALSO,28,AA3.24,12/15/2015
Ter,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M8406TP01,METI,Sistemas e Redes de Comunicação para Móveis Avançados,FALSO,11:00:00,09:30:00,28,METIA1,FALSO,28,AA3.24,12/1/2015
Ter,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M8406TP01,METI,Sistemas e Redes de Comunicação para Móveis Avançados,FALSO,11:00:00,09:30:00,28,METIA1,FALSO,28,AA3.24,11/24/2015
Ter,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M8406TP01,METI,Sistemas e Redes de Comunicação para Móveis Avançados,FALSO,11:00:00,09:30:00,28,METIA1,FALSO,28,AA3.24,11/17/2015
Ter,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M8406TP01,METI,Sistemas e Redes de Comunicação para Móveis Avançados,FALSO,11:00:00,09:30:00,28,METIA1,FALSO,28,AA3.24,11/10/2015
Ter,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M8406TP01,METI,Sistemas e Redes de Comunicação para Móveis Avançados,FALSO,11:00:00,09:30:00,28,METIA1,FALSO,28,AA3.24,11/3/2015
Ter,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M8406TP01,METI,Sistemas e Redes de Comunicação para Móveis Avançados,FALSO,11:00:00,09:30:00,28,METIA1,FALSO,28,AA3.24,10/27/2015
Ter,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M8406TP01,METI,Sistemas e Redes de Comunicação para Móveis Avançados,FALSO,11:00:00,09:30:00,28,METIA1,FALSO,28,AA3.24,10/20/2015
Ter,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M8406TP01,METI,Sistemas e Redes de Comunicação para Móveis Avançados,FALSO,11:00:00,09:30:00,28,METIA1,FALSO,28,AA3.24,10/13/2015
Ter,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M8406TP01,METI,Sistemas e Redes de Comunicação para Móveis Avançados,FALSO,11:00:00,09:30:00,28,METIA1,FALSO,28,AA3.24,10/6/2015
